CustomerID,Business_Category,Business_Size,Customer_Since
B2B-2550,Education,Small,2023-01-10
B2B-2584,Education,Small,2024-03-25
B2B-2078,Construction,Medium,2024-04-08
B2B-2608,Legal Services,Small,2024-02-11
B2B-2009,Education,Small,2024-05-17
B2B-2068,Legal Services,Medium,2022-12-01
B2B-2301,Education,Medium,2023-04-24
B2B-2108,Construction,Small,2024-02-14
B2B-2346,Tech Startup,Small,2022-10-14
B2B-2764,Tech Startup,Medium,2023-12-13
B2B-2512,Consulting,Medium,2024-05-10
B2B-2683,Education,Medium,2022-03-16
B2B-2537,Consulting,Medium,2023-09-09
B2B-2434,Education,Small,2022-04-30
B2B-2011,Construction,Medium,2022-03-28
B2B-2630,Consulting,Medium,2023-02-03
B2B-2461,Education,Medium,2024-01-12
B2B-2402,Construction,Small,2023-01-02
B2B-2661,Tech Startup,Small,2022-10-06
B2B-2029,Education,Small,2022-10-22
B2B-2134,Tech Startup,Small,2023-06-17
B2B-2125,Tech Startup,Small,2023-03-28
B2B-2480,Construction,Small,2024-06-04
B2B-2255,Legal Services,Small,2024-05-09
B2B-2704,Consulting,Small,2023-11-01
B2B-2021,Education,Small,2023-09-18
B2B-2504,Tech Startup,Small,2023-09-20
B2B-2392,Legal Services,Small,2022-09-17
B2B-2428,Education,Small,2022-04-21
B2B-2419,Tech Startup,Medium,2023-01-03
B2B-2090,Construction,Small,2024-06-17
B2B-2221,Education,Medium,2024-04-13
B2B-2227,Tech Startup,Medium,2023-08-14
B2B-2325,Consulting,Medium,2022-09-18
B2B-2291,Tech Startup,Small,2024-02-25
B2B-2180,Tech Startup,Small,2023-09-02
B2B-2713,Education,Small,2022-08-11
B2B-2112,Education,Medium,2024-06-08
B2B-2233,Education,Medium,2022-06-23
B2B-2290,Education,Medium,2022-06-17
B2B-2749,Construction,Small,2023-05-20
B2B-2705,Construction,Small,2023-10-04
B2B-2148,Tech Startup,Medium,2022-06-23
B2B-2267,Education,Small,2024-06-15
B2B-2534,Tech Startup,Small,2022-06-18
B2B-2263,Legal Services,Small,2022-06-12
B2B-2340,Legal Services,Small,2023-07-03
B2B-2780,Education,Small,2024-05-09
B2B-2142,Legal Services,Small,2023-12-07
B2B-2567,Tech Startup,Small,2024-04-05
B2B-2121,Education,Small,2024-05-09
B2B-2533,Consulting,Small,2024-01-15
B2B-2722,Legal Services,Small,2023-06-04
B2B-2312,Consulting,Medium,2023-01-21
B2B-2489,Education,Medium,2022-09-28
B2B-2491,Education,Small,2022-09-06
B2B-2157,Education,Medium,2022-10-05
B2B-2455,Education,Small,2023-08-15
B2B-2007,Education,Small,2022-03-15
B2B-2629,Consulting,Medium,2022-06-03
B2B-2147,Tech Startup,Small,2022-01-10
B2B-2642,Education,Medium,2022-06-09
B2B-2344,Legal Services,Small,2023-04-01
B2B-2785,Education,Small,2022-01-17
B2B-2451,Education,Medium,2022-08-07
B2B-2566,Legal Services,Medium,2023-11-11
B2B-2412,Education,Small,2023-03-22
B2B-2771,Tech Startup,Medium,2023-02-17
B2B-2573,Tech Startup,Medium,2023-02-08
B2B-2223,Education,Small,2022-09-28
B2B-2542,Education,Small,2022-01-22
B2B-2314,Tech Startup,Medium,2024-04-21
B2B-2430,Legal Services,Medium,2023-01-25
B2B-2650,Legal Services,Small,2022-02-16
B2B-2426,Construction,Small,2022-08-28
B2B-2330,Construction,Small,2024-01-14
B2B-2747,Consulting,Small,2023-09-10
B2B-2225,Tech Startup,Small,2022-01-05
B2B-2658,Consulting,Small,2022-10-15
B2B-2539,Education,Small,2022-05-06
B2B-2666,Tech Startup,Small,2022-01-02
B2B-2736,Education,Medium,2022-05-08
B2B-2232,Construction,Medium,2023-04-14
B2B-2386,Education,Small,2024-03-08
B2B-2592,Legal Services,Medium,2024-05-31
B2B-2085,Construction,Medium,2024-01-20
B2B-2448,Tech Startup,Small,2023-06-08
B2B-2151,Construction,Small,2023-01-07
B2B-2776,Education,Small,2023-06-05
B2B-2341,Education,Small,2023-12-24
B2B-2270,Legal Services,Small,2022-01-29
B2B-2276,Education,Medium,2023-12-12
B2B-2130,Construction,Medium,2023-08-10
B2B-2763,Tech Startup,Small,2023-12-21
B2B-2265,Legal Services,Medium,2022-04-25
B2B-2217,Education,Medium,2023-06-15
B2B-2562,Education,Medium,2022-03-18
B2B-2556,Education,Medium,2023-06-06
B2B-2623,Legal Services,Medium,2022-09-22
B2B-2377,Tech Startup,Medium,2022-03-11
B2B-2252,Tech Startup,Small,2023-09-25
B2B-2400,Consulting,Medium,2022-07-19
B2B-2169,Legal Services,Small,2023-10-08
B2B-2614,Tech Startup,Medium,2024-04-08
B2B-2690,Education,Medium,2024-03-26
B2B-2322,Tech Startup,Medium,2022-08-22
B2B-2755,Legal Services,Small,2023-04-13
B2B-2484,Legal Services,Medium,2022-01-26
B2B-2477,Legal Services,Small,2022-10-03
B2B-2335,Tech Startup,Medium,2023-10-14
B2B-2226,Consulting,Small,2023-04-09
B2B-2131,Construction,Small,2022-11-28
B2B-2442,Education,Medium,2022-11-01
B2B-2555,Education,Small,2023-12-08
B2B-2546,Legal Services,Medium,2022-05-21
B2B-2746,Education,Medium,2023-10-14
B2B-2595,Education,Small,2023-12-30
B2B-2355,Education,Medium,2024-04-05
B2B-2349,Legal Services,Medium,2022-03-11
B2B-2416,Consulting,Medium,2022-10-13
B2B-2522,Education,Medium,2024-04-22
B2B-2109,Education,Medium,2022-07-29
B2B-2296,Education,Small,2022-07-06
B2B-2154,Construction,Small,2022-11-23
B2B-2326,Construction,Medium,2022-09-09
B2B-2453,Education,Small,2022-01-28
B2B-2544,Tech Startup,Small,2022-12-21
B2B-2786,Construction,Small,2024-01-18
B2B-2769,Education,Medium,2022-09-21
B2B-2783,Education,Small,2022-01-21
B2B-2559,Legal Services,Medium,2022-08-13
B2B-2732,Education,Medium,2023-03-20
B2B-2718,Consulting,Medium,2022-07-26
B2B-2080,Consulting,Medium,2023-01-07
B2B-2711,Construction,Small,2022-07-12
B2B-2047,Tech Startup,Medium,2022-11-24
B2B-2168,Tech Startup,Medium,2022-08-01
B2B-2396,Education,Small,2024-04-25
B2B-2387,Education,Medium,2023-05-06
B2B-2299,Construction,Medium,2023-01-03
B2B-2723,Legal Services,Small,2022-02-11
B2B-2745,Tech Startup,Small,2022-03-26
B2B-2274,Education,Small,2023-08-01
B2B-2464,Education,Medium,2022-05-09
B2B-2176,Construction,Small,2022-10-06
B2B-2424,Tech Startup,Small,2023-12-09
B2B-2006,Legal Services,Medium,2023-02-26
B2B-2178,Education,Small,2023-04-18
B2B-2667,Education,Medium,2024-02-04
B2B-2086,Consulting,Small,2022-09-10
B2B-2209,Education,Small,2022-02-11
B2B-2443,Legal Services,Medium,2022-03-11
B2B-2333,Construction,Small,2024-02-11
B2B-2099,Tech Startup,Medium,2024-04-16
B2B-2093,Legal Services,Small,2024-03-08
B2B-2716,Consulting,Small,2023-06-24
B2B-2329,Legal Services,Medium,2023-04-15
B2B-2008,Construction,Medium,2023-10-29
B2B-2576,Education,Medium,2024-02-06
B2B-2376,Education,Small,2023-04-11
B2B-2719,Construction,Small,2024-06-10
B2B-2698,Tech Startup,Small,2024-06-16
B2B-2211,Legal Services,Small,2022-02-10
B2B-2236,Legal Services,Small,2022-04-23
B2B-2240,Consulting,Medium,2022-10-08
B2B-2379,Education,Small,2023-09-21
B2B-2362,Construction,Medium,2022-05-25
B2B-2378,Legal Services,Small,2022-01-09
B2B-2606,Construction,Small,2023-08-01
B2B-2139,Legal Services,Medium,2023-01-04
B2B-2520,Consulting,Small,2023-05-31
B2B-2175,Legal Services,Medium,2023-04-01
B2B-2394,Construction,Small,2023-05-11
B2B-2487,Legal Services,Small,2023-11-23
B2B-2388,Legal Services,Small,2023-12-25
B2B-2651,Education,Medium,2022-05-11
B2B-2530,Tech Startup,Small,2022-03-17
B2B-2282,Legal Services,Small,2023-09-27
